sale_id,集計ラベル,エリアKEY,エリア,順位,ホテル名,補足,hotel_no,表示エリア,予約件数,予約金額,URL
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,1,ホテル近鉄ユニバーサル・シティ,,16654,関西,,,https://travel.rakuten.co.jp/HOTEL/16654/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,2,グランドニッコー東京ベイ 舞浜,,179245,関東,,,https://travel.rakuten.co.jp/HOTEL/179245/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,3,ホテルエミオン東京ベイ,,38529,関東,,,https://travel.rakuten.co.jp/HOTEL/38529/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,4,舞浜ビューホテル by HULIC,（旧：東京ベイ舞浜ホテル）,54127,関東,,,https://travel.rakuten.co.jp/HOTEL/54127/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,5,リーベルホテル大阪,,172378,関西,,,https://travel.rakuten.co.jp/HOTEL/172378/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,6,三井ガーデンホテル プラナ東京ベイ,,67046,関東,,,https://travel.rakuten.co.jp/HOTEL/67046/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,7,ラ・ジェント・ホテル東京ベイ,,158612,関東,,,https://travel.rakuten.co.jp/HOTEL/158612/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,8,オリエンタルホテル東京ベイ,,1238,関東,,,https://travel.rakuten.co.jp/HOTEL/1238/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,9,シェラトン・グランデ・トーキョーベイ・ホテル,,27896,関東,,,https://travel.rakuten.co.jp/HOTEL/27896/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,top10,全体,10,東京ベイ舞浜ホテル ファーストリゾート,,27929,関東,,,https://travel.rakuten.co.jp/HOTEL/27929/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,hokkaido,北海道・東北,1,リッチモンドホテル仙台,,4934,北海道・東北,,,https://travel.rakuten.co.jp/HOTEL/4934/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,hokkaido,北海道・東北,2,ホテルエミシア札幌,,901,北海道・東北,,,https://travel.rakuten.co.jp/HOTEL/901/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,hokkaido,北海道・東北,3,ニューオータニイン札幌,,163,北海道・東北,,,https://travel.rakuten.co.jp/HOTEL/163/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,kanto,関東,1,グランドニッコー東京ベイ 舞浜,,179245,関東,,,https://travel.rakuten.co.jp/HOTEL/179245/?scid=af_trv_2026uurakuten
2026-06-ss,2025年6月スーパーSALE実績,kanto,関東,2,ホテルエミオン東京ベイ,,38529,関東,,,https://travel.rakuten.co.jp/HOTEL/38529/?scid=af_trv_2026uurakuten
