sale_id,表示順,フェーズ,日付,曜日,曜日色,カード色,タグ,バッジ,テーマ,訴求コピー,誘導先
2026-06-ss,1,announce,5/31,日曜日,sun,announce,announce,announce:告知スタート,開幕カウントダウン！SALE4日前の予告投稿,🎊 楽天トラベル スーパーSALE まであと4日！旅行予約が毎日最大30%OFFになります。6/4(木)20時スタートの前に、まずはページをチェック＆エントリーの準備を📋 先行SALEも告知期間から始まってるよ！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,2,announce,6/1,月曜日,,pre,announce,announce:告知 | pre:先行SALE開始,先行セールスタート！チェーンスペシャルホテル訴求,🏨 先行セールスタート！チェーンスペシャルホテルが最大33%OFFで予約できます。本番SALEが始まる前に下見もしやすい今がねらい目✨ エントリーも忘れずに👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,3,announce,6/2,火曜日,,pre,announce,pre:先行SALE,海外旅行ポイント還元 訴求,✈️ 今すぐエントリーして海外旅行をお得に！エントリー＆対象ホテルのご予約で+15%ポイント還元。ポイントUPプランなら最大35%還元も✨ 海外旅行の予定がある方は絶対チェック！,公式ページ（海外） :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,4,announce,6/3,水曜日,,pre,announce,pre:先行SALE,開幕前夜！エントリーリマインダー,⚡️ 明日20時〜 本SALEスタート！先行セールで狙いをつけておいて、明日は一気に予約しよう🔥 エントリーはもうしてある？まだの方は今すぐ！,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,5,announce,6/4,木曜日,,main,announce main,pre:先行SALE 最終日 | main:🎉 本SALE 20:00〜,本SALE 開幕！最大30%OFFスタート,🎉 キタ！楽天トラベル スーパーSALEがついに開幕！旅行予約が毎日最大30%OFF✨ 初めてのアプリ予約なら最大35%OFF！国内旅行のエントリーで最大全額ポイントバックも狙えるよ👇,公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,6,main,6/5,金曜日,,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 START（〜6/7 23:59）,5のつく日 72時間スタート ＋ 大磯ロングビーチ30%OFF,⏰ 5のつく日スタート！今から72時間！スーパーSALEと重なって旅行予約が最大30%OFF🔥 大磯ロングビーチのチケットも30%OFFになってるよ☀️ 夏の計画は今すぐ！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
大磯ロングビーチ :: https://experiences.travel.rakuten.co.jp/experiences/62585"
2026-06-ss,7,main,6/6,土曜日,sat,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 継続中,週末 ＋ テーマパーク提携ホテル23%OFF訴求,🎠 週末こそ旅行計画のチャンス！テーマパーク提携ホテルは最大23%OFF。キッザニア東京のチケットもSALE対象🎡 5のつく日も継続中、週末旅行の予約は今！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
キッザニア東京 :: https://experiences.travel.rakuten.co.jp/experiences/40115"
2026-06-ss,8,main,6/7,日曜日,sun,50day,main 50day,main:本SALE | 50day:⏰ 5のつく日 本日23:59まで,5のつく日 ラストコール ＋ ジャングリア沖縄・ムーミン訴求,⚡️ 5のつく日 本日23:59まで！ジャングリア沖縄やムーミンバレーパークのチケットもSALE対象✨ 今週末はアクティブに旅しよう！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
ジャングリア沖縄 :: https://experiences.travel.rakuten.co.jp/experiences/62313
ムーミンバレーパーク :: https://experiences.travel.rakuten.co.jp/experiences/25531"
2026-06-ss,9,main,6/8,月曜日,,main,main,main:本SALE,楽パック ＋ レンタカー セット訴求,"🚗 交通＋宿のセットでもっとお得！楽パックで最大30,000円割引。レンタカーも最大45%OFFだよ🏔 夏旅の計画、まるっと楽天トラベルで完結させよう！",公式ページ（楽パック） :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
2026-06-ss,10,main,6/9,火曜日,,main,main,main:本SALE,文化系観光体験チケット訴求（京都・ピカソ展・フジロック）,🎨 旅先のアクティビティもSALEでお得に！VIE ZEN NIGHT 京都 東福寺 夜間プレミアム拝観が20%OFF✨ 展覧会「ピカソ meets ポール・スミス」も販売中。[7/24〜26] フジロックのEチケットも！旅行と合わせて計画しよう👇,"VIE ZEN NIGHT 京都 :: https://experiences.travel.rakuten.co.jp/experiences/60743
フジロック :: https://experiences.travel.rakuten.co.jp/experiences/62510"
2026-06-ss,11,main,6/10,水曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 START（〜6/12 23:59）,0のつく日 72時間スタート ＋ 新江ノ島水族館10%OFF,🐠 0のつく日スタート！今から72時間！新江ノ島水族館が10%OFF✨ 鴨川シーワールドもSALE対象🐋 夏は海！水族館を訪ねる旅行計画を楽天トラベルで！,"公式ページ :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
新江ノ島水族館 :: https://experiences.travel.rakuten.co.jp/experiences/34960"
2026-06-ss,12,main,6/11,木曜日,,50day,main 50day,main:本SALE | 50day:⏰ 0のつく日 継続中,SALE折り返し ＋ 海外旅行ポイントUP訴求,🌏 スーパーSALE折り返し！まだ予約していない方は急いで。海外旅行はポイントUPプランで最大35%還元✈️ エントリーがまだの方は今すぐ！残り9日！,公式ページ（海外） :: https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten
